A,B,C,D
0.7789933364005653,0.5059096441446705,0.20985448292023123,0.1744575042169123
0.9677392462788982,0.8877242903935495,0.3591995109453012,0.8867686830659017
0.10710624626435394,0.6544593059669328,0.0774535942306478,0.1240989436153267
0.671880993624716,0.07450243170754911,0.49063512066232284,0.359228672982315
0.9943495896360027,0.4387168183742395,0.876172594022838,0.9685689547201908
0.8078294371244489,0.589542490040742,0.8851634749415471,0.9264333611268737
0.5347361526525084,0.7560918064200726,0.2924351613508829,0.21845211556810662
0.11866389427868118,0.9775701657505981,0.8780967480572526,0.4818377934285796
0.7003613560042938,0.8378076108735677,0.03128682717564768,0.07482858484858756
0.46538295388952555,0.14039680656440434,0.8432076673380641,0.9101658726409589
0.5775969122240511,0.5999691105343026,0.25793205714997913,0.274330300355373
0.3684375328659629,0.6272151948257978,0.7972796030143221,0.493695940907835
0.6734915186299419,0.8847506254707831,0.5402078001359232,0.7620058843331898
0.29714143992258313,0.38803022886556937,0.10654049866699333,0.8731899343352129
0.05534674167263931,0.413149957041827,0.8210706447103263,0.2832131447486762
0.9520586371262403,0.24310180761490086,0.006698715919832177,0.45539112415158467
0.6626391515477417,0.6070726655369318,0.3079391870704239,0.7695612161702285
0.17620136667582376,0.75448824388778,0.4848789895154585,0.5146767494385689
0.5421244298051763,0.6340450585311159,0.4191801250452215,0.9125822936901831
0.37258108945605584,0.7708166542179438,0.03681872282706822,0.33540974366603415
0.16686275343659607,0.6174079861881974,0.05063733802412074,0.696023567799801
0.9704658475001953,0.6490677095187264,0.30159445772624627,0.0034631578113594186
0.08098983886422895,0.07129530526714556,0.7288347468242464,0.48979036631671014
0.40254493907075306,0.23041521194547399,0.9334462138797732,0.9489884824287491
0.8061983080196574,0.10029986352671638,0.3893454975566649,0.014091279129709089
0.7327705515462102,0.09844066047943834,0.81596188514249,0.3755442558895551
0.8647866580766443,0.9391494011034802,0.7766596074570186,0.7993584340106505
0.5240843079716331,0.13179723399123244,0.16719928214559077,0.10062279494014326
0.0640825031863621,0.9612802344808797,0.8757754297390486,0.5712669735878863
0.3693283349815015,0.48631256758200203,0.1594087227367017,0.18778529409077138
0.04801102768739751,0.1688553268233438,0.06535023407365803,0.1500793887350974
0.810346263856426,0.23959611022103788,0.28223598035119135,0.3723888017774576
0.6669327550840752,0.995533972070186,0.8716014435872251,0.7285161260329693
0.791713272982867,0.1453338237615881,0.7852806607742837,0.424756859818749
0.7590054945730533,0.31927412609188577,0.7136918134912155,0.4509323689612723
0.9214576825534843,0.8432017119016497,0.1393506610340136,0.5478132789358038
0.8095152534444644,0.5042517105570649,0.19365359233520196,0.4415646880498634
0.5377622056415049,0.9623797983758041,0.2751213687529509,0.2850685879557536
0.12060858890146597,0.39824146810275873,0.6029000493363669,0.25985377468154247
0.27021841960496706,0.7295970840021924,0.1184713998252015,0.012261423858347276
0.3915041032169041,0.0035392408101404538,0.2142840755882519,0.3725483387060724
0.868044626822371,0.4890370765918939,0.36488691893236624,0.46455136013348086
0.2636564140563872,0.0011865897442091544,0.47451573905509725,0.42901892317226575
0.9003473198536072,0.005146128901702074,0.12085446896757646,0.2694103305150839
0.30150828977266286,0.34212222001523773,0.3574401037700763,0.07608326572975599
0.9884170931566026,0.0847731759711996,0.048561524682432244,0.5843472622109247
0.161778129474217,0.31271394471495195,0.28025616449064106,0.479515310786913
0.011512187188037593,0.24451735010004616,0.42307068686168414,0.24092489397592698
0.06978500335183258,0.040301063608665366,0.9690169293695106,0.584836584621789
0.9134112252790425,0.5159315595055973,0.7900198563948173,0.32860340272686783
0.6883059182643569,0.0699379369831592,0.12765983037387651,0.38762223434564624
0.43381001887249315,0.8176446792873283,0.16637142638718982,0.014841806560565551
0.6901277832315402,0.36899839158083514,0.7362340011649545,0.9779375676682602
0.48644671947606954,0.2892219638603768,0.34410261520547525,0.6186622684127447
0.10163186530693413,0.6020038898550418,0.6487646215390938,0.7350552464495259
0.32451513034652324,0.3497484397901087,0.951259214362359,0.3464331375889256
0.14719422283955041,0.6165840541048597,0.7731972710087892,0.1157026874407574
0.8928546685149795,0.8491547184144803,0.23056230800750055,0.6200636733906452
0.6323036264066968,0.019123609353022153,0.10166866061574098,0.13621559983503262
0.8070626336613689,0.8885916991409621,0.8734767323454586,0.11381577593390901
0.941831676341081,0.9554456270549,0.49002638464726644,0.9483956618622073
0.04150619020945323,0.8339544389321147,0.5637797292979261,0.31572766881298864
0.19494733837671963,0.5697705235785853,0.4081029772170871,0.796552899566713
0.3843759621020374,0.5171015109115004,0.2272991444123117,0.03629955131249063
0.8269778966854093,0.9789626794313366,0.6921924681496386,0.9235448497201064
0.49330294363091576,0.9884281261819561,0.2264390255485702,0.2034053850457922
0.3212566220355345,0.16730251115004435,0.19017762539977812,0.5750978832743242
0.8725972652002221,0.49270701183593046,0.8244304178411329,0.44117009784927086
